Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
1250.0,PLYMOUTH FSA,SAVINGS BANK,STATE,"PLYMOUTH, MA",9/27/1991 ,RTC,29460.0,ACQUISITION,137835,174717.0,20068.0
2113.0,EASTERN FS & LA OF SAYVILLE,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAYVILLE, NY",9/27/1991 ,RTC,29563.0,ACQUISITION,264912,249533.0,29136.0
2119.0,HOME FS & LA OF HARLAN,SAVINGS ASSOCIATION,FEDERAL/STATE,"HARLAN, IA",9/27/1991 ,RTC,29092.0,ACQUISITION,89021,91411.0,35.0
2125.0,SANTA PAULA S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SANTA PAULA, CA",9/27/1991 ,RTC,27867.0,ACQUISITION,242557,280667.0,6947.0
2118.0,GOLD RIVER SB,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIR OAKS, CA",9/27/1991 ,RTC,32400.0,ACQUISITION,21944,24140.0,2094.0
4403.0,HARBOR NATIONAL BANK OF CONNECTICUT,COMMERCIAL BANK,FEDERAL,"BRANFORD, CT",10/3/1991 ,BIF,26815.0,ACQUISITION,22824,22853.0,1655.0
4404.0,REAGAN STATE BANK,COMMERCIAL BANK,STATE,"BIG LAKE, TX",10/3/1991 ,BIF,20027.0,ACQUISITION,20902,20254.0,4552.0
4408.0,"NUMERICA SAVINGS BANK, FSB",SAVINGS BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,17237.0,ACQUISITION,436535,509074.0,110982.0
4406.0,"BANK MERIDIAN, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,"HAMPTON, NH",10/10/1991 ,BIF,17879.0,ACQUISITION,105416,109379.0,8162.0
4409.0,BANKEAST,COMMERCIAL BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,15952.0,ACQUISITION,631606,816843.0,64402.0
4411.0,AMOSKEAG BANK,SAVINGS BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,17178.0,ACQUISITION,768425,937259.0,190785.0
1295.0,HOMEBANK FSA,SAVINGS BANK,STATE,"GILFORD, NH",10/10/1991 ,RTC,28946.0,ACQUISITION,192059,255081.0,16683.0
4410.0,DARTMOUTH BANK,SAVINGS BANK,STATE,"MANCHESTER, NH",10/10/1991 ,BIF,26700.0,ACQUISITION,835263,877159.0,220604.0
4412.0,NEW HAMPSHIRE SAVINGS BANK,SAVINGS BANK,STATE,"CONCORD, NH",10/10/1991 ,BIF,27287.0,ACQUISITION,947219,1171673.0,229739.0
4407.0,NASHUA TRUST COMPANY,COMMERCIAL BANK,STATE,"NASHUA, NH",10/10/1991 ,BIF,11486.0,ACQUISITION,397018,425059.0,35469.0
2132.0,"THE FIRST, FEDERAL ASSOCIATION",SAVINGS ASSOCIATION,FEDERAL/STATE,"ORLANDO, FL",10/11/1991 ,RTC,28763.0,ACQUISITION,960802,1066094.0,148030.0
4405.0,IONA SAVINGS BANK,SAVINGS BANK,STATE,"TILTON, NH",10/11/1991 ,BIF,17189.0,ACQUISITION,29513,31180.0,5334.0
2189.0,FIRST FEDERAL SAVINGS,SAVINGS BANK,STATE,"LUBBOCK, TX",10/11/1991 ,RTC,29191.0,ACQUISITION,222486,223669.0,5152.0
1249.0,LIFE FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"CLEARWATER, FL",10/11/1991 ,RTC,31990.0,ACQUISITION,88524,107603.0,9210.0
1299.0,OAKTREE FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW ORLEANS, LA",10/13/1991 ,RTC,32090.0,ACQUISITION,2256189,2214549.0,2345947.0
1271.0,CITIZENS FSA,SAVINGS BANK,STATE,"JACKSONVILLE, FL",10/16/1991 ,RTC,32615.0,ACQUISITION,66972,65710.0,8855.0
1232.0,FIRST FS & LA,SAVINGS BANK,STATE,"PONTIAC, MI",10/16/1991 ,RTC,29342.0,ACQUISITION,558620,916980.0,34307.0
4413.0,CENTRAL BANK,SAVINGS BANK,STATE,"MERIDEN, CT",10/18/1991 ,BIF,17822.0,ACQUISITION,627935,654715.0,242063.0
4415.0,"MISSION VALLEY BANK, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,"SAN CLEMENTE, CA",10/18/1991 ,BIF,24565.0,TRANSFER,40510,42672.0,14527.0
4414.0,CONNECTICUT VALLEY BANK,COMMERCIAL BANK,STATE,"CROMWELL, CT",10/18/1991 ,BIF,27373.0,ACQUISITION,27862,28359.0,8598.0
4416.0,"FIRST NATIONAL BANK, BEDFORD",COMMERCIAL BANK,FEDERAL,"BEDFORD, TX",10/24/1991 ,BIF,25837.0,ACQUISITION,23253,23189.0,2394.0
4418.0,THE CITIZENS BANK OF PAGOSA SPRINGS,COMMERCIAL BANK,STATE,"PAGOSA SPRINGS, CO",10/25/1991 ,BIF,10413.0,ACQUISITION,16649,17275.0,2055.0
4417.0,COOLIDGE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"BOSTON, MA",10/25/1991 ,BIF,18317.0,ACQUISITION,315007,321204.0,85653.0
4419.0,FIRST HANOVER BANK,COMMERCIAL BANK,STATE,"WILMINGTON, NC",10/25/1991 ,BIF,26561.0,ACQUISITION,46547,48212.0,5704.0
4422.0,"THE PRIVATE BANK & TRUST, NATION",COMMERCIAL BANK,FEDERAL,"MIAMI, FL",10/29/1991 ,BIF,26695.0,PAYOUT,0,4264.0,1536.0
4420.0,BANK OF THE SOUTH,COMMERCIAL BANK,STATE,"BATON ROUGE, LA",10/30/1991 ,BIF,22824.0,ACQUISITION,31307,31835.0,3583.0
4421.0,UNION BANK,COMMERCIAL BANK,STATE,"SAN ANTONIO, TX",10/31/1991 ,BIF,15514.0,ACQUISITION,85239,84877.0,8889.0
1226.0,MARINE VIEW FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"MIDDLETOWN, NJ",11/1/1991 ,RTC,30027.0,ACQUISITION,107526,119221.0,3835.0
4423.0,COMMUNITY NATIONAL BANK AND TRUST,COMMERCIAL BANK,FEDERAL,"NEW YORK, NY",11/7/1991 ,BIF,19519.0,TRANSFER,354235,333771.0,95868.0
1256.0,DELTA FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"WESTMINSTER, CA",11/8/1991 ,RTC,32143.0,ACQUISITION,29400,52410.0,11975.0
1297.0,COBB FSA,SAVINGS BANK,STATE,"MARIETTA, GA",11/8/1991 ,RTC,32543.0,ACQUISITION,82813,83159.0,25527.0
4424.0,CONNECTICUT SAVINGS BANK,SAVINGS BANK,STATE,"NEW HAVEN, CT",11/14/1991 ,BIF,18239.0,ACQUISITION,897732,1044990.0,203462.0
4425.0,ALVARADO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"ALVARADO, TX",11/14/1991 ,BIF,25898.0,ACQUISITION,9489,9169.0,2835.0
4426.0,WORTHINGTON STATE BANK,COMMERCIAL BANK,STATE,"WORTHINGTON, IN",11/14/1991 ,BIF,12124.0,TRANSFER,34227,36646.0,1427.0
4427.0,DURHAM TRUST COMPANY,COMMERCIAL BANK,STATE,"DURHAM, NH",11/15/1991 ,BIF,16927.0,ACQUISITION,68528,71024.0,6312.0
1277.0,WHITE HORSE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"TRENTON, NJ",11/22/1991 ,RTC,30665.0,ACQUISITION,67897,72477.0,16819.0
1224.0,CHASE SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,"PHILADELPHIA, PA",11/22/1991 ,RTC,30324.0,ACQUISITION,46011,46857.0,10445.0
2196.0,WESTERN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CLENVIEW, IL",11/22/1991 ,RTC,28446.0,ACQUISITION,26424,33164.0,1849.0
2191.0,PEOPLES FSA,SAVINGS BANK,STATE,"OTTUMWA, IA",11/22/1991 ,RTC,28295.0,ACQUISITION,33662,34316.0,735.0
4428.0,FIRST NATIONAL BANK OF MIAMI,COMMERCIAL BANK,FEDERAL,"MIAMI, FL",11/26/1991 ,BIF,26274.0,TRANSFER,40877,40462.0,6270.0
4429.0,SAYBROOK BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"OLD SAYBROOK, CT",12/6/1991 ,BIF,25128.0,ACQUISITION,78375,77287.0,18749.0
4430.0,GRANITE CO-OPERATIVE BANK,SAVINGS BANK,STATE,"QUINCY, MA",12/12/1991 ,BIF,26585.0,TRANSFER,84328,103814.0,14026.0
4434.0,THE BANK MART,SAVINGS BANK,STATE,"BRIDGEPORT, CT",12/13/1991 ,BIF,17048.0,ACQUISITION,486776,578220.0,93901.0
4432.0,MERCHANTS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LEOMINSTER, MA",12/13/1991 ,BIF,2599.0,ACQUISITION,147364,153615.0,29446.0
1215.0,INVESTORS FSB,SAVINGS BANK,STATE,"RICHMOND, VA",12/13/1991 ,RTC,31724.0,ACQUISITION,1431239,2057643.0,470676.0
4435.0,"FEDERAL FINANCE & MORTGAGE, LTD",COMMERCIAL BANK,STATE,"HONOLULU, HI",12/13/1991 ,BIF,26241.0,TRANSFER,7427,7732.0,878.0
4431.0,BANK OF EAST HARTFORD,COMMERCIAL BANK,STATE,"EAST HARTFORD, CT",12/13/1991 ,BIF,27151.0,ACQUISITION,38396,36581.0,12893.0
4433.0,NORTH RIDGE BANK,COMMERCIAL BANK,STATE,"OAKLAND PARK, FL",12/20/1991 ,BIF,21113.0,ACQUISITION,92729,94332.0,2931.0
4436.0,ASSURED THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,"STOCKTON, CA",1/3/1992 ,BIF,26493.0,PAYOUT,46635,48226.0,21028.0
4437.0,THE CITIZENS BANK,COMMERCIAL BANK,STATE,"DALLAS, GA",1/10/1992 ,BIF,18720.0,TRANSFER,59063,60568.0,12692.0
2152.0,PERPETUAL SAVINGS BANK,SAVINGS BANK,STATE,"VIENNA, VA",1/10/1992 ,RTC,31231.0,ACQUISITION,2447078,2892072.0,453690.0
1265.0,HANSEN FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HAMMONTON, NJ",1/10/1992 ,RTC,31024.0,ACQUISITION,427259,572398.0,42408.0
1294.0,HANSEN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"PALM BEACH GARDEN, FL",1/10/1992 ,RTC,32258.0,ACQUISITION,43441,51816.0,10907.0
4438.0,THE BANK OF VERDE VALLEY,COMMERCIAL BANK,STATE,"COTTONWOOD, AZ",1/16/1992 ,BIF,26954.0,ACQUISITION,10155,10254.0,1412.0
4439.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,"BANGS, TX",1/23/1992 ,BIF,11138.0,ACQUISITION,16416,16518.0,2977.0
1252.0,ADVANCED FSB,SAVINGS BANK,STATE,"NORTHRIDGE, CA",1/24/1992 ,RTC,32210.0,PAYOUT,23557,23089.0,19298.0
4440.0,AMERICAN NATIONAL BANK OF NEW YORK,COMMERCIAL BANK,FEDERAL,"FLEISCHMANNS, NY",1/24/1992 ,BIF,7052.0,PAYOUT,17823,18006.0,3633.0
4442.0,"CROSSLAND SAVINGS BANK, FSB",SAVINGS BANK,STATE,"BROOKLYN, NY",1/24/1992 ,BIF,16013.0,ACQUISITION,5514987,7431636.0,753397.0
4446.0,INDEPENDENCE BANK,COMMERCIAL BANK,STATE,"LOS ANGELES, CA",1/30/1992 ,BIF,18675.0,PAYOUT,547627,535786.0,137204.0
4443.0,ATLANTIC TRUST COMPANY,COMMERCIAL BANK,STATE,"NEWINGTON, NH",1/30/1992 ,BIF,25878.0,ACQUISITION,22733,21229.0,5824.0
2156.0,PELICAN HOMESTEAD SA,SAVINGS ASSOCIATION,FEDERAL/STATE,"METAIRIE, LA",1/31/1992 ,RTC,29518.0,ACQUISITION,1489485,1284313.0,288288.0
4445.0,FOUNTAIN BANK,COMMERCIAL BANK,STATE,"SCOTTSDALE, AZ",1/31/1992 ,BIF,26945.0,ACQUISITION,16125,15639.0,4734.0
4444.0,SENTINEL BANK,COMMERCIAL BANK,STATE,"HARTFORD, CT",1/31/1992 ,BIF,27000.0,ACQUISITION,73512,74846.0,27542.0
1276.0,SECURITY FSA,SAVINGS BANK,STATE,"PANAMA CITY, FL",1/31/1992 ,RTC,30582.0,ACQUISITION,100444,107078.0,15967.0
4448.0,LANDMARK BANK OF FORTH WORTH,COMMERCIAL BANK,STATE,"FORT WORTH, TX",2/6/1992 ,BIF,25146.0,ACQUISITION,80517,80529.0,17483.0
2151.0,"UNITED SAVINGS OF AMERICA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"MELBOURNE, FL",2/7/1992 ,RTC,30265.0,ACQUISITION,293368,327158.0,15421.0
4449.0,MERCHANTS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"FORT MYERS, FL",2/7/1992 ,BIF,27213.0,TRANSFER,35262,35091.0,5209.0
4447.0,KEMPTON STATE BANK,COMMERCIAL BANK,STATE,"KEMPTON, IL",2/7/1992 ,BIF,16377.0,ACQUISITION,3612,3644.0,564.0
4450.0,THE CENTRAL SAVINGS BANK,SAVINGS BANK,STATE,"LOWELL, MA",2/14/1992 ,BIF,90226.0,ACQUISITION,354218,369110.0,26720.0
4451.0,DOLLAR DRY DOCK BANK,SAVINGS BANK,STATE,"WHITE PLAINS, NY",2/21/1992 ,BIF,15897.0,ACQUISITION,3733163,4028368.0,309136.0
4453.0,THE BANK OF BRANDYWINE VALLEY,COMMERCIAL BANK,STATE,"WEST CHESTER, PA",2/21/1992 ,BIF,27309.0,TRANSFER,47334,44930.0,12081.0
4452.0,NATIONAL CITY BANK,COMMERCIAL BANK,FEDERAL,"CORAL SPRINGS, FL",2/21/1992 ,BIF,25882.0,TRANSFER,18593,19031.0,2621.0
4455.0,COLUMBIA BANK,COMMERCIAL BANK,STATE,"AVONDALE, AZ",2/27/1992 ,BIF,25907.0,TRANSFER,16859,16987.0,3677.0
1244.0,LEMONT FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LEMONT, IL",2/28/1992 ,RTC,30999.0,ACQUISITION,188801,193664.0,53022.0
4456.0,COLONY SAVINGS BANK,SAVINGS BANK,STATE,"WALLINGFORD, CT",2/28/1992 ,BIF,26364.0,ACQUISITION,32801,35664.0,5662.0
1273.0,VISTA FSA,SAVINGS BANK,STATE,"RESTON, VA",2/28/1992 ,RTC,32383.0,ACQUISITION,108736,113212.0,36862.0
1230.0,IRVINGTON FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,"GLEN BURNIE, MD",2/28/1992 ,RTC,28588.0,ACQUISITION,43203,43817.0,5143.0
1221.0,ALPHA INDIAN ROCK FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PHILADELPHIA, PA",2/28/1992 ,RTC,31238.0,ACQUISITION,7677,7208.0,2779.0
4454.0,MISSION VIEJO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"MISSION VIEJO, CA",2/28/1992 ,BIF,23455.0,PAYOUT,102372,114584.0,31421.0
4457.0,NEW HERITAGE BANK,COMMERCIAL BANK,STATE,"LAWRENCE, MA",3/6/1992 ,BIF,27092.0,TRANSFER,99939,99806.0,19261.0
4458.0,PROGRESSIVE NATIONAL BANK OF RAYNE,COMMERCIAL BANK,FEDERAL,"RAYNE, LA",3/12/1992 ,BIF,24601.0,ACQUISITION,11177,11412.0,1654.0
1288.0,UKRANIAN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PHILADELPHIA, PA",3/12/1992 ,RTC,30852.0,ACQUISITION,72642,74915.0,8868.0
2175.0,"FIRST OHIO SB, FSB",SAVINGS BANK,STATE,"ST. BERNARD, OH",3/13/1992 ,RTC,29158.0,ACQUISITION,31768,40774.0,0.0
1259.0,CARROLTON HOME,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW ORLEANS, LA",3/13/1992 ,RTC,29530.0,ACQUISITION,32646,35856.0,2204.0
4459.0,BROADWAY BANK,COMMERCIAL BANK,STATE,"PATERSON, NJ",3/13/1992 ,BIF,15000.0,TRANSFER,383318,400540.0,76188.0
4460.0,FIRST SECURITY BANK OF ANACONDA,COMMERCIAL BANK,STATE,"ANACONDA, MT",3/16/1992 ,BIF,19801.0,ACQUISITION,30234,31553.0,5990.0
4462.0,INDEPENDENCE BANK,COMMERCIAL BANK,STATE,"PLANO, TX",3/19/1992 ,BIF,24793.0,ACQUISITION,20846,21836.0,2809.0
4463.0,SOUTHSIDE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"NACOGDOCHES, TX",3/19/1992 ,BIF,23633.0,ACQUISITION,12049,12040.0,3294.0
4465.0,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,"TRYON, OK",3/19/1992 ,BIF,10668.0,ACQUISITION,4139,4291.0,940.0
4464.0,"UNITED MERCANTILE B & T CO, N.A.",COMMERCIAL BANK,FEDERAL,"PASADENA, CA",3/20/1992 ,BIF,23855.0,TRANSFER,37701,36452.0,12398.0
4461.0,THE BANK FOR SAVINGS,SAVINGS BANK,STATE,"MALDEN, MA",3/20/1992 ,BIF,23289.0,ACQUISITION,392720,397979.0,21723.0
4466.0,THEODORE ROOSEVELT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"WASHINGTON, DC",3/26/1992 ,BIF,32762.0,ACQUISITION,13589,13834.0,3393.0
4468.0,AMERICAN  BANK OF COMMERCE,COMMERCIAL BANK,STATE,"OKLAHOMA CITY, OK",3/26/1992 ,BIF,20284.0,ACQUISITION,13777,13481.0,2255.0
4467.0,VANGUARD SAVINGS BANK,SAVINGS BANK,STATE,"HOLYOKE, MA",3/27/1992 ,BIF,17778.0,ACQUISITION,432557,427949.0,120495.0
2201.0,FLAGLER FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MIAMI, FL",3/27/1992 ,RTC,30826.0,ACQUISITION,1493111,1601277.0,101588.0
4469.0,PLACER BANK OF COMMERCE,COMMERCIAL BANK,STATE,"ROSEVILLE, CA",3/27/1992 ,BIF,24633.0,ACQUISITION,33109,34820.0,5340.0
4470.0,FIRST COMMUNITY BANK OF CHEROKEE,COMMERCIAL BANK,STATE,"WOODSTOCK, GA",3/31/1992 ,BIF,27146.0,TRANSFER,33714,35648.0,6884.0
2212.0,FIRST STATE SA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SEDALIA, MO",4/3/1992 ,RTC,29584.0,ACQUISITION,163947,166121.0,2.0
1274.0,COMMONWEALTH FSB,SAVINGS BANK,STATE,"MANASSAS, VA",4/3/1992 ,RTC,31453.0,ACQUISITION,64780,72536.0,16425.0
4472.0,THE BANK OF BEVERLY HILLS,COMMERCIAL BANK,STATE,"BEVERLY HILLS, CA",4/3/1992 ,BIF,22414.0,PAYOUT,122347,125939.0,24956.0
4471.0,SUMMIT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"TORRINGTON, CT",4/3/1992 ,BIF,26447.0,TRANSFER,89766,91381.0,22780.0
4473.0,RED BIRD BANK OF DALLAS,COMMERCIAL BANK,STATE,"DALLAS, TX",4/9/1992 ,BIF,20413.0,ACQUISITION,37666,38568.0,10532.0
4474.0,FAIRFIELD COUNTY TRUST COMPANY,COMMERCIAL BANK,STATE,"STAMFORD, CT",4/9/1992 ,BIF,23860.0,ACQUISITION,132001,132437.0,19204.0
1208.0,VALLEY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"VAN NUYS, CA",4/10/1992 ,RTC,31768.0,ACQUISITION,1549633,1996340.0,124377.0
1207.0,SECURITY FIRST FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"DAYTONA BEACH, FL",4/10/1992 ,RTC,29222.0,ACQUISITION,904202,1013550.0,24074.0
1248.0,FEDERAL SA OF VIRGINIA,SAVINGS BANK,STATE,"FALLS CHURCH, VA",4/10/1992 ,RTC,32639.0,ACQUISITION,29585,31479.0,14463.0
4479.0,VALLEY COMMERCIAL BANK,COMMERCIAL BANK,STATE,"STOCKTON, CA",4/24/1992 ,BIF,23865.0,TRANSFER,29410,30767.0,4823.0
4478.0,SHORE BANK & TRUST CO.,COMMERCIAL BANK,STATE,"LYNN, MA",4/24/1992 ,BIF,27002.0,ACQUISITION,184170,183184.0,70553.0
4475.0,SOUTHSTATE BANK FOR SAVINGS,SAVINGS BANK,STATE,"BROCKTON, MA",4/24/1992 ,BIF,90170.0,ACQUISITION,267466,285923.0,10457.0
1213.0,FIRST FSB OF SOUTH DAKOTA,SAVINGS BANK,STATE,"RAPID CITY, SD",4/24/1992 ,RTC,27853.0,ACQUISITION,169948,155900.0,24066.0
4477.0,THE NORWALK BANK,COMMERCIAL BANK,STATE,"NORWALK, CT",4/24/1992 ,BIF,26971.0,ACQUISITION,77227,80597.0,17448.0
1237.0,FIRST SOUTH SB,SAVINGS ASSOCIATION,FEDERAL/STATE,"COLUMBIA, SC",4/24/1992 ,RTC,32186.0,ACQUISITION,48503,56956.0,7515.0
4480.0,"METROPOLITAN BANK, N.A.",COMMERCIAL BANK,FEDERAL,"WASHINGTON, DC",5/1/1992 ,BIF,21315.0,TRANSFER,27074,27090.0,2246.0
4483.0,"THE FINANCIAL CENTER BANK, N.A.",COMMERCIAL BANK,FEDERAL,"SAN FRANCISCO, CA",5/4/1992 ,BIF,25059.0,PAYOUT,218847,225189.0,25639.0
4487.0,JACKSON EXCHANGE BANK & TRUST CO,COMMERCIAL BANK,STATE,"JACKSON, MO",5/7/1992 ,BIF,9380.0,ACQUISITION,127822,123295.0,16383.0
4485.0,FIRST EXCHANGE BANK NORTH ST. LOUIS,COMMERCIAL BANK,STATE,"FLORISSANT, MO",5/7/1992 ,BIF,32742.0,ACQUISITION,47038,45880.0,0.0
4486.0,FIRST EXCHANGE BANK OF MADISON COUNTY,COMMERCIAL BANK,STATE,"FREDERICKTOWN, MO",5/7/1992 ,BIF,24242.0,ACQUISITION,34238,34814.0,1639.0
4484.0,FIRST EXCHANGE BANK OF CAPE GIRARDEAU,COMMERCIAL BANK,STATE,"CAPE GIRARDEAU, MO",5/7/1992 ,BIF,24863.0,ACQUISITION,87015,84418.0,9713.0
4488.0,FIRST EXCHANGE BANK OF  ST. LOUIS,COMMERCIAL BANK,STATE,"ST. LOUIS, MO",5/7/1992 ,BIF,26613.0,ACQUISITION,60891,55555.0,7066.0
1241.0,SHENANDOAH FSA,SAVINGS BANK,STATE,"MARTINSBURG, WV",5/8/1992 ,RTC,31664.0,ACQUISITION,69001,94195.0,5139.0
4489.0,BROOKFIELD BANK,COMMERCIAL BANK,STATE,"BROOKFIELD, CT",5/8/1992 ,BIF,26901.0,TRANSFER,68675,60696.0,41728.0
4490.0,MALDEN TRUST COMPANY,COMMERCIAL BANK,STATE,"MALDEN, MA",5/15/1992 ,BIF,8158.0,ACQUISITION,238455,225228.0,39417.0
1253.0,FIRST FSA,SAVINGS BANK,STATE,"LEWISTON, ME",5/21/1992 ,RTC,29650.0,ACQUISITION,76333,83004.0,11773.0
4491.0,POWDER MILL BANK,COMMERCIAL BANK,STATE,"MORRIS PLAINS, NJ",5/22/1992 ,BIF,27001.0,ACQUISITION,47944,49587.0,6893.0
4493.0,NORTH AMERICAN THRIFT AND LOAN,COMMERCIAL BANK,STATE,"CORONA DEL MAR, CA",5/29/1992 ,BIF,27570.0,PAYOUT,20863,21276.0,4496.0
4492.0,WORKINGMEN'S CO-OPERATIVE BANK,SAVINGS BANK,STATE,"BOSTON, MA",5/29/1992 ,BIF,26864.0,ACQUISITION,189866,223665.0,12935.0
4494.0,MAYFAIR BANK,COMMERCIAL BANK,STATE,"CHICAGO, IL",6/4/1992 ,BIF,26895.0,ACQUISITION,29707,32170.0,1205.0
4495.0,THE HOME STATE BANK,COMMERCIAL BANK,STATE,"LONGTON, KS",6/4/1992 ,BIF,14909.0,PAYOUT,4212,4189.0,730.0
1233.0,HOME UNITY FEDERAL,SAVINGS ASSOCIATION,FEDERAL/STATE,"LAFAYETTE HILL, PA",6/4/1992 ,RTC,28867.0,ACQUISITION,632317,684804.0,18550.0
1216.0,REPUBLIC FSB,SAVINGS BANK,STATE,"MATTESON, IL",6/5/1992 ,RTC,32389.0,ACQUISITION,264244,290292.0,0.0
1246.0,VOLUNTEER FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LITTLE FERRY, NJ",6/5/1992 ,RTC,27728.0,ACQUISITION,49370,51240.0,5155.0
1239.0,FIRST AMERICAN FSB,SAVINGS BANK,STATE,"GREENSBORO, NC",6/5/1992 ,RTC,29595.0,ACQUISITION,639124,804316.0,35421.0
1282.0,"COOPER RIVER, FSA",SAVINGS BANK,STATE,"NORTH CHARLESTON, SC",6/5/1992 ,RTC,28847.0,ACQUISITION,201442,228859.0,10740.0
4498.0,RIVERHEAD SAVINGS BANK,SAVINGS BANK,STATE,"RIVERHEAD, NY",6/12/1992 ,BIF,16033.0,ACQUISITION,316612,388806.0,0.0
4497.0,AMERICAN SAVINGS BANK,SAVINGS BANK,STATE,"WHITE PLAINS, NY",6/12/1992 ,BIF,16017.0,ACQUISITION,2827416,3202492.0,431311.0
4496.0,LANDMARK BANK FOR SAVINGS,SAVINGS BANK,STATE,"WHITMAN, MA",6/12/1992 ,BIF,21997.0,ACQUISITION,48107,62124.0,11238.0
4499.0,AMERICAN INTERSTATE BANK,COMMERCIAL BANK,STATE,"NEWPORT BEACH, CA",6/12/1992 ,BIF,21082.0,ACQUISITION,40792,41990.0,7427.0
1228.0,SAN CLEMENTE FSB,SAVINGS BANK,STATE,"SAN CLEMENTE, CA",6/12/1992 ,RTC,31452.0,ACQUISITION,205745,220368.0,32751.0
1304.0,CHEROKEE VALLEY FSA,SAVINGS BANK,STATE,"CLEVELAND, TN",6/12/1992 ,RTC,29084.0,ACQUISITION,124432,142536.0,0.0
1283.0,COLUMBIA BANKING FED.,SAVINGS ASSOCIATION,FEDERAL/STATE,"ROCHESTER, NY",6/12/1992 ,RTC,29855.0,ACQUISITION,1078091,1277433.0,40629.0
1281.0,COASTAL FSB,SAVINGS BANK,STATE,"NEW LONDON, CT",6/19/1992 ,RTC,29541.0,ACQUISITION,224473,238194.0,5887.0
1218.0,FIRST HOME FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PITTSBURGH, PA",6/19/1992 ,RTC,28250.0,ACQUISITION,129271,131686.0,463.0
1223.0,FIRST NEWPORT FSB,SAVINGS BANK,STATE,"NEWPORT BEACH, CA",6/19/1992 ,RTC,32452.0,ACQUISITION,34365,35042.0,3193.0
4501.0,AMERICAN NATIONAL BANK - POST OAK,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",6/25/1992 ,BIF,26420.0,ACQUISITION,25067,24735.0,4454.0
4502.0,CASTLE HILLS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"SAN ANTONIO, TX",6/25/1992 ,BIF,25063.0,ACQUISITION,13718,13769.0,429.0
4500.0,OLYMPIC INTERNATIONAL BANK & TRUST,COMMERCIAL BANK,STATE,"BOSTON, MA",6/26/1992 ,BIF,25918.0,ACQUISITION,142322,140339.0,69196.0
1262.0,JACKSONVILLE FSA,SAVINGS BANK,STATE,"JACKSONVILLE, FL",6/26/1992 ,RTC,30285.0,ACQUISITION,147507,150884.0,25258.0
4504.0,VERNON BANK,COMMERCIAL BANK,STATE,"VERNON, CT",6/26/1992 ,BIF,27402.0,ACQUISITION,34543,34296.0,3133.0
4503.0,THE SOMERSWORTH BANK,COMMERCIAL BANK,STATE,"SOMERSWORTH, NH",6/26/1992 ,BIF,6251.0,ACQUISITION,113453,114129.0,18433.0
